CenterX_PreNear_CH0,CenterY_PreNear_CH0,CenterX_PreFar_CH0,CenterY_PreFar_CH0,CenterX_PostNear_CH0,CenterY_PostNear_CH0,CenterX_PostFar_CH0,CenterY_PostFar_CH0,BeamSize_PostCureFar_CH0,R_preX_CH0,R_preY_CH0,R_postX_CH0,R_postY_CH0,AutoFindBeam_CH0
320.7896,245.0567,320.6642,245.0603,324.9673,242.4235,326.7206,243.5213,20223,-0.12534,0.003594,1.753324,1.097788,0
317.6512,246.7595,316.3205,245.6429,322.0235,242.8342,320.53,249.6368,16880,-1.330755,-1.116572,-1.493508,6.802566,0
317.9796,243.1199,315.3539,240.2702,322.0511,242.5974,338.6818,238.5112,12619,-2.625751,-2.849678,16.63062,-4.086193,0
314.8118,245.9731,317.5474,247.3571,319.6094,242.6636,314.7504,251.0973,12506,2.735519,1.383951,-4.859011,8.433751,1
319.0891,248.8364,317.8094,245.9685,323.8118,245.106,332.0033,240.3275,20125,-1.27973,-2.867924,8.191552,-4.778523,0
324.3788,240.0267,322.2835,239.7755,325.9695,240.4778,336.3843,240.6315,14315,-2.095261,-0.251171,10.4149,0.153712,1
325.8228,252.6917,326.7283,250.7854,327.4302,248.3149,336.5211,245.4905,19778,0.905569,-1.906246,9.090901,-2.824364,0
319.9786,244.6183,319.8117,241.8295,322.9566,245.0139,333.9997,244.3125,16593,-0.166896,-2.788784,11.04307,-0.701399,0
321.2302,239.3412,320.0421,242.3119,318.2349,233.6903,318.3266,226.0415,15556,-1.188072,2.970691,0.091746,-7.648882,0
316.6746,246.238,319.3899,244.2598,322.3841,242.8201,319.3626,247.6364,17869,2.715286,-1.978234,-3.021508,4.81628,0
320.9256,243.793,320.3261,243.5353,323.4016,244.2411,338.5902,245.9679,17430,-0.599462,-0.257672,15.18865,1.726776,0
320.4819,242.5805,320.1785,240.275,323.328,240.4143,315.0485,234.985,18853,-0.303429,-2.30551,-8.279502,-5.429228,0
322.7296,242.51,320.2139,243.4055,325.6253,242.5378,338.3372,242.8949,18012,-2.515621,0.895462,12.71189,0.357092,1
322.5218,239.8965,323.8022,239.8031,318.0289,235.7427,318.0714,231.7661,8823,1.280479,-0.093449,0.042523,-3.976632,0
327.0352,245.3146,325.5017,247.7122,332.5263,242.5328,338.4204,240.751,17715,-1.5335,2.397586,5.894109,-1.781812,0
319.9164,241.4823,320.45,239.5375,325.2542,237.6175,328.0348,242.1914,13153,0.53364,-1.944792,2.780602,4.573973,1
311.2317,244.7564,314.0287,244.6926,313.4003,242.5659,305.0421,237.1299,20486,2.797,-0.063794,-8.358185,-5.435972,0
321.5128,240.409,321.6642,241.0317,325.22,240.8887,342.9221,243.3536,12940,0.151391,0.622652,17.70214,2.464902,0
318.52,241.3837,320.061,241.7549,314.849,233.6246,319.5737,224.1556,14585,1.541053,0.371212,4.724728,-9.469076,0
308,249.8793,305.9367,248.1287,316.3899,240.4129,303.9261,243.3575,14461,-2.063318,-1.750595,-12.46374,2.944587,0
308.7124,248.2273,307.0623,246.3406,318.4217,241.043,307.7975,250.1559,20536,-1.650171,-1.886684,-10.62417,9.112824,0
316.2224,240.3101,318.0272,238.6318,314.134,242.8065,309.9236,249.6241,19452,1.804846,-1.67831,-4.210341,6.817551,0
