CenterX_PreNear_CH0,CenterY_PreNear_CH0,CenterX_PreFar_CH0,CenterY_PreFar_CH0,CenterX_PostNear_CH0,CenterY_PostNear_CH0,CenterX_PostFar_CH0,CenterY_PostFar_CH0,BeamSize_PostCureFar_CH0,R_preX_CH0,R_preY_CH0,R_postX_CH0,R_postY_CH0,AutoFindBeam_CH0
316.8049,242.843,317.8124,241.7951,319.2408,240.6997,313.1766,237.4782,20179,1.007525,-1.047912,-6.064275,-3.221451,0
323.4861,249.1456,324.1585,247.4978,326.7419,249.3746,343.2782,245.4168,16046,0.672414,-1.647773,16.53632,-3.957766,1
325.2276,246.2449,323.7,243.564,328.4978,243.9054,334.2182,250.1127,15996,-1.527587,-2.680869,5.720336,6.207231,0
318.3,245.7796,318.1818,244.8217,316.7857,234.2901,306.8775,223.9485,19730,-0.11829,-0.957881,-9.908252,-10.34163,0
319.8406,250.8266,319.1682,252.2894,321.4133,248.9386,326.3879,253.2289,20372,-0.672414,1.462834,4.974584,4.290292,0
319.3617,239.9254,318.626,237.803,317.5594,241.4143,308.903,240.9228,10434,-0.735701,-2.122321,-8.656395,-0.491518,0
315.8786,252.0384,317.6487,250.7114,315.4797,249.3341,299.1386,246.1079,22809,1.770091,-1.326996,-16.34111,-3.226214,0
318.2786,243.7762,318.3799,242.1214,323.0071,239.9681,325.9301,243.3592,16262,0.101337,-1.654786,2.923016,3.391124,0
321.4046,243.058,322.7699,240.8824,317.248,237.1775,310.9988,233.4329,18092,1.365295,-2.175559,-6.249146,-3.744629,0
320.8127,247.4107,322.2664,245.235,324.6186,245.6356,324.4335,246.5382,20448,1.453789,-2.175724,-0.185126,0.902659,0
318.9256,243.0618,318.3044,242.5413,321.1423,243.938,331.2112,246.5768,12337,-0.621206,-0.520523,10.06883,2.638821,0
317.0367,243.2417,317.3029,241.1058,321.2658,240.9623,319.0023,236.6553,20922,0.266198,-2.135814,-2.263494,-4.306942,0
322.8337,257.4489,325.5443,255.1954,328.2714,255.3048,340.7381,252.9173,23869,2.710525,-2.253443,12.46676,-2.38746,0
308.7765,249.2511,305.8893,247.53,318.2704,239.3539,314.157,252.2115,17553,-2.887171,-1.721172,-4.113345,12.85758,0
317.6313,239.0004,320.2729,238.126,323.3653,241.0577,329.9525,245.0769,13775,2.641534,-0.874457,6.587233,4.019177,0
321.0182,245.704,319.5952,243.0944,323.885,242.1267,329.1685,247.5236,16814,-1.423019,-2.609594,5.283523,5.396814,0
308.6447,253.0704,308.8433,254.0426,317.9738,242.285,303.8147,248.493,14070,0.198602,0.972192,-14.15907,6.208007,0
319.4209,248.6211,317.33,246.5529,318.7142,243.9169,306.6352,249.2377,16525,-2.090914,-2.06819,-12.079,5.320838,0
324.5144,251.6313,324.0008,250.1164,325.9261,249.3507,335.0779,244.1877,20020,-0.513527,-1.514882,9.151814,-5.163043,0
319.1442,247.5149,321.1847,245.0468,327.847,242.0423,331.3262,235.7263,19001,2.040462,-2.46815,3.47922,-6.315979,0
313.5464,250.1856,309.607,253.5163,319.7173,244.5661,320.4204,244.1412,18653,-3.93949,3.330738,0.703141,-0.424916,0
316.1832,238.9941,315.739,239.9636,316.9974,240.7364,308.4709,241.9079,12471,-0.444178,0.96953,-8.526515,1.171551,0
317.2669,247.0335,318.4255,244.4984,321.3026,241.7073,317.8614,236.1612,20217,1.158618,-2.535143,-3.441225,-5.546057,0
306.6507,252.4076,304.9428,251.7072,318.8132,240.7946,320.2004,255.0017,18293,-1.707909,-0.700356,1.387204,14.2071,0
324.3233,249.5494,325.5841,247.5115,328.3407,246.6476,337.0941,249.0105,16152,1.26082,-2.037882,8.753315,2.362876,0
308.18,254.803,310.6038,255.4172,316.7506,244.1868,303.5631,248.6864,14147,2.423782,0.61423,-13.18754,4.499643,0
320.2557,246.0359,319.3941,243.7086,323.39,243.0878,328.5204,235.6555,21885,-0.861601,-2.327263,5.130369,-7.43236,0
315.418,252.626,317.4815,250.2245,316.466,246.8015,314.2462,255.9432,17142,2.063488,-2.401537,-2.219856,9.141706,0
314.6648,250.4677,313.8714,247.6405,321.8306,245.8586,321.752,233.6552,19006,-0.793475,-2.827109,-0.078629,-12.20342,0
314.6584,254.2586,316.0699,253.8947,320.4426,246.9015,314.9582,257.9454,20807,1.411575,-0.363893,-5.48434,11.04388,0
314.7979,237.0119,312.1909,239.6692,318.0511,239.9627,315.6685,247.2489,16512,-2.607017,2.657307,-2.382615,7.286159,0
312.2887,247.1093,311.6027,247.2196,311.6318,243.0839,295.0002,249.8291,18417,-0.685989,0.110283,-16.63164,6.745204,0
306.9838,250.0038,306.0926,250.0296,315.5516,238.9257,305.4523,241.4084,14648,-0.891268,0.025823,-10.09931,2.482722,0
315.9285,249.4111,317.8167,247.9326,320.8962,243.9304,328.3663,237.4888,21384,1.888171,-1.478515,7.470068,-6.441541,0
314.4759,253.7478,315.5145,251.8719,320.8674,249.661,311.6132,253.2419,21991,1.038623,-1.875947,-9.25422,3.580878,0
319.351,246.6972,320.0089,246.1564,323.5274,243.5025,333.3647,245.3693,16327,0.657915,-0.54079,9.837255,1.866783,0
317.6978,245.4792,317.7336,247.4605,321.4938,240.7757,328.2422,238.9839,22368,0.035815,1.981268,6.748376,-1.791791,0
323.7733,249.8384,322.2493,247.661,322.3525,245.3693,310.4124,252.6838,17191,-1.524031,-2.177386,-11.9401,7.314455,0
315.8705,249.7945,317.6577,250.3723,321.1297,241.9087,321.5224,248.9385,18136,1.787176,0.577818,0.392726,7.029755,0
320.9835,248.5269,319.7577,250.8984,321.9946,244.4892,316.2118,246.7985,16713,-1.225844,2.371529,-5.782764,2.309389,0
302.3534,248.3569,299.835,246.2275,314.5836,235.7007,312.6826,246.3933,18128,-2.518402,-2.129424,-1.90092,10.69252,0
314.2973,250.9898,314.8416,248.188,318.1572,249.5532,327.8111,244.586,22176,0.544326,-2.801728,9.6539,-4.967177,0
318.993,245.4178,321.6491,243.2426,321.3229,243.4163,326.3766,247.4499,15977,2.656168,-2.175174,5.053711,4.03361,0
313.3596,248.0482,310.6158,247.34,322.589,243.3869,324.1736,235.5302,23186,-2.74379,-0.708238,1.58465,-7.856694,0
314.1788,245.7834,312.0952,243.5591,317.7777,240.711,319.9042,237.718,22038,-2.08351,-2.224306,2.126457,-2.992982,0
304.792,250.8466,303.9092,250.9063,315.032,240.0534,305.2631,244.6379,12952,-0.882839,0.059642,-9.76898,4.584513,0
311.2124,251.9628,313.0603,249.8786,319.9629,243.4481,328.4384,242.8995,20780,1.847908,-2.084172,8.47542,-0.548551,0
313.0443,254.6689,310.3545,253.1705,325.5454,243.4922,324.3503,255.3483,17549,-2.689836,-1.498394,-1.195097,11.85611,0
314.9708,251.6543,314.4175,250.0193,317.4065,247,313.8524,252.2523,17414,-0.553315,-1.63502,-3.554175,5.252326,0
326.3542,252.46,326.3692,252.1361,326.9243,246.7808,324.9469,246.472,16972,0.014965,-0.323816,-1.977378,-0.308803,0
321.3027,244.8143,320.3427,242.3598,324.5593,242.8506,329.3073,245.1646,15817,-0.959966,-2.454467,4.747923,2.313917,0
313.1628,252.4903,312.2614,250.1164,322.0981,242.0741,313.2638,246.2796,13793,-0.90134,-2.373904,-8.834288,4.20551,0
314.1687,248.4466,314.2834,246.1241,322.1587,243.3332,316.5601,242.8167,20626,0.114752,-2.322518,-5.598637,-0.516476,0
307.0672,252.5121,308.4509,250.7534,318.0716,239.658,311.7643,250.1328,18737,1.383716,-1.758692,-6.307295,10.47482,0
314.7109,243.7005,317.0201,241.5464,317.0984,236.0908,316.0431,232.4747,17307,2.309117,-2.154074,-1.055365,-3.616107,0
320.566,246.4908,321.4119,246.4023,324.4487,245.3924,330.0221,243.1624,21145,0.845877,-0.088418,5.57346,-2.230071,0
315.6393,253.9285,315.3859,254.7032,316.6942,248.0484,308.7476,250.0786,19168,-0.253343,0.774728,-7.946569,2.030164,0
325.829,255.9763,327.5247,259.2569,330.2231,249.1406,336.6436,255.1368,16124,1.69577,3.280612,6.420521,5.996256,0
311.3594,235.6862,312.0226,232.7357,312.1611,237.7722,293.7755,239.5567,15799,0.663195,-2.950522,-18.38552,1.784532,0
318.8968,246.4991,316.6638,245.2775,320.8537,242.1847,311.1284,244.1358,15951,-2.233061,-1.221613,-9.725203,1.951122,0
318.0941,239.1147,319.8513,239.1275,320.9255,236.5006,338.0944,233.7321,18317,1.757138,0.012732,17.16891,-2.768477,0
327.3638,250.0501,326.5397,249.7253,330.62,247.3278,338.8862,252.1677,16175,-0.824042,-0.324748,8.266281,4.839878,0
315.9946,242.3399,314.0395,243.344,323.3324,238.8263,323.7847,240.1718,18375,-1.955159,1.004091,0.452216,1.345483,0
311.3091,255.2107,308.7306,256.3195,322.9472,244.4651,318.1068,260.4398,18546,-2.578535,1.108741,-4.840453,15.97473,0
321.3821,240.556,319.1582,241.3604,317.0557,241.0257,301.4978,242.1008,10099,-2.223981,0.804412,-15.55796,1.075079,0
324.7237,251.5371,322.1204,251.8869,324.3189,248.5399,330.896,248.15,22302,-2.603283,0.349877,6.577135,-0.389915,0
306.864,248.2444,305.8228,249.3086,313.3748,243.1138,316.9005,235.7029,22137,-1.041227,1.064207,3.525686,-7.410944,0
308.6276,252.0775,308.9734,249.7185,315.8712,240.7897,299.6555,239.4011,14182,0.345806,-2.359005,-16.21575,-1.388664,0
319.7197,244.9884,318.4984,242.6352,319.7642,239.0369,318.2891,236.438,19636,-1.221292,-2.353128,-1.475137,-2.598879,0
322.5666,234.2201,322.5271,235.7889,320.1986,235.4761,308.1679,242.3576,18863,-0.039454,1.568801,-12.03072,6.881559,0
314.6363,238.6648,311.7296,241.409,318.837,241.1541,313.3156,245.0095,13797,-2.906639,2.744168,-5.521379,3.855388,0
318.7462,242.9935,317.0846,243.0187,322.4045,240.5735,329.95,244.8851,16565,-1.661578,0.025191,7.545497,4.311565,0
309.8818,253.2878,309.2881,255.0228,318.1791,241.5599,308.2089,245.3035,14938,-0.59377,1.734957,-9.970216,3.743621,0
319.7574,240.6181,317.1414,243.0739,316.2865,242.216,296.0882,251.0665,13870,-2.616025,2.455831,-20.19832,8.850491,0
310.4798,234.0136,312.779,236.2075,316.1571,235.6158,313.2451,237.9793,19027,2.299192,2.193889,-2.912054,2.363586,0
322.4725,247.7137,319.9801,246.3985,325.1407,245.1189,333.0544,248.7559,17219,-2.492386,-1.315181,7.913738,3.637056,0
316.1223,249.3679,315.7562,249.4676,318.5083,245.3295,315.1824,240.4171,20861,-0.366133,0.099667,-3.325869,-4.912489,0
309.7698,256.7186,311.1187,254.6446,316.5122,245.8819,302.3252,247.9872,14002,1.348836,-2.074028,-14.187,2.105198,0
317.8776,234.5665,318.5729,236.879,314.5618,236.4933,304.0792,245.8321,16476,0.695269,2.312478,-10.48255,9.338835,0
317.1806,240.4747,318.6647,241.04,315.8146,236.1201,309.0515,246.6795,13817,1.484054,0.565313,-6.763093,10.55939,0
316.541,234.9299,319.533,234.5967,321.8297,238.0479,324.5095,244.4899,16343,2.991973,-0.33322,2.679839,6.441993,0
319.9217,247.1625,317.6844,245.8511,325.0214,241.477,325.9965,235.4342,18595,-2.237301,-1.311353,0.975083,-6.042732,0
315.1749,237.6358,316.849,238.8683,314.0842,239.0082,308.6613,245.0157,12194,1.674119,1.232508,-5.422899,6.007441,0
306.6639,255.6148,309.1847,252.8925,315.5461,245.1259,302.379,245.9904,14009,2.520798,-2.7223,-13.16708,0.864543,0
315.6494,246.1731,314.4765,245.1953,315.4512,242.2972,304.4645,251.4967,16095,-1.172976,-0.977824,-10.98668,9.199509,0
314.4658,239.0145,316.2787,241.759,316.1699,241.9327,304.2983,248.6715,16869,1.812914,2.744465,-11.87156,6.738798,0
319.8537,241.2453,320.4512,243.2124,321.8526,238.8952,324.406,244.7633,15761,0.597539,1.967116,2.553405,5.868113,0
317.1559,247.9772,316.849,245.5296,316.7472,242.4309,316.1561,244.1838,18506,-0.306804,-2.447612,-0.591123,1.752957,0
308.0236,251.122,308.484,252.863,317.809,238.6675,306.6559,236.4853,15064,0.460418,1.741021,-11.15312,-2.182202,0
320.5233,241.9118,319.5835,242.4473,316.1412,243.3051,295.1412,248.6431,17452,-0.93974,0.535502,-20.99996,5.338001,0
310.4833,235.5871,308.9827,233.669,318.4241,238.8659,322.4976,241.3849,15829,-1.50059,-1.918106,4.073559,2.519003,0
323.613,243.0187,324.6215,243.6179,326.4512,238.3661,331.2329,242.7311,15871,1.008516,0.599161,4.781719,4.364992,0
312.628,250.9682,314.3128,249.1225,324.4181,239.5368,322.9812,250.0505,19252,1.684811,-1.845797,-1.436889,10.51367,0
307.7107,245.1329,307.9921,246.692,315.3304,238.5428,324.6222,240.781,9813,0.281319,1.559046,9.291816,2.238173,0
311.3578,247.5844,311.4604,247.7203,318.0074,240.7481,325.101,239.2437,25108,0.102584,0.135881,7.093595,-1.504392,0
320.9951,243.7268,322.1176,241.3004,322.996,242.5136,326.0943,246.6017,17024,1.122527,-2.426354,3.098315,4.088057,0
319.1113,244.5383,319.7142,241.777,323.9007,245.0074,334.8149,245.9897,11015,0.60287,-2.761267,10.91415,0.982361,0
306.589,250.1175,309.2434,248.5467,317.4525,242.2822,314.6985,252.052,19877,2.654385,-1.570772,-2.753964,9.769735,0
309.7416,251.4489,309.1695,249.522,318.4646,241.5342,309.8687,242.6091,14035,-0.572136,-1.926981,-8.595827,1.074941,0
322.2899,244.0354,320.8022,241.5257,325.6523,241.8015,333.0146,245.1534,17062,-1.487714,-2.509644,7.362361,3.351917,0
315.083,245.6172,312.4632,242.8994,314.4119,241.1235,300.9403,242.046,19228,-2.619795,-2.717803,-13.47153,0.922517,0
319.5229,236.2403,320.0677,238.664,322.2462,240.5976,315.3425,252.3244,17624,0.544812,2.423704,-6.903707,11.72685,1
310.1691,245.5239,308.5011,244.2046,319.3791,234.2557,312.2209,235.2168,14561,-1.668049,-1.319281,-7.158176,0.961102,0
319.0897,238.4486,318.8965,239.3061,315.6219,239.7785,302.5084,245.1647,12737,-0.193276,0.857476,-13.11353,5.386256,0
317.3377,248.1041,318.5844,246.991,324.8766,244.9277,331.2565,248.0109,20742,1.246704,-1.113125,6.379887,3.083223,0
319.2751,249.9205,316.3367,248.7928,322.3698,250.4232,338.6425,249.0782,16015,-2.938482,-1.127734,16.27271,-1.345009,0
316.5509,239.4196,318.4139,240.7385,313.5351,241.2446,303.9217,248.9962,13479,1.863007,1.318949,-9.613472,7.751601,0
310.5184,233.2127,313.1702,232.8714,313.7725,235.3458,300.4379,238.8699,16683,2.651822,-0.341305,-13.33459,3.524085,0
315.4697,240.7695,316.5358,243.4571,310.1208,243.8355,296.3413,252.9734,10452,1.066091,2.687599,-13.77952,9.137894,0
312.849,240.7616,313.2144,238.6201,315.6951,243.2616,315.1891,242.5894,18030,0.365395,-2.141421,-0.50606,-0.672206,0
305.4083,251.192,307.4945,248.5354,314.9572,241.0842,308.4111,245.4608,13732,2.086285,-2.656575,-6.546104,4.376614,0
303.9698,251.3656,302.7737,252.9838,313.7873,240.7717,302.9441,245.3725,14075,-1.196103,1.618271,-10.84322,4.600844,0
318.2044,245.3911,315.5424,245.4275,320.908,243.1652,326.9258,247.9259,15888,-2.661965,0.036414,6.01786,4.760686,0
316.295,239.9684,315.8424,240.9259,317.5757,242.8278,303.818,248.8287,16748,-0.452655,0.957491,-13.7577,6.0009,0
312.554,248.8359,313.9829,251.388,323.4623,238.2579,322.1168,241.0725,14825,1.428907,2.552175,-1.345475,2.814654,0
323.127,242.8192,320.8828,242.73,320.6891,243.6499,307.5724,248.0986,15109,-2.244163,-0.089216,-13.11665,4.448653,0
317.7721,236.8115,320.5246,239.4871,314.898,238.233,306.0766,246.3219,11169,2.752455,2.675605,-8.821389,8.088842,0
315.094,244.4144,314.7268,242.1607,316.9234,238.8678,314.3739,236.7848,19999,-0.367179,-2.253731,-2.549489,-2.082973,0
314.6459,247.7403,317.2423,246.8568,324.0073,243.5678,335.6172,235.644,19485,2.596457,-0.883528,11.60994,-7.923821,0
313.9426,234.2955,314.363,236.2322,316.0477,236.0957,305.3438,238.8978,17224,0.420388,1.93675,-10.70396,2.802107,0
316.9534,238.9678,318.2206,241.7499,314.1429,240.2095,299.481,247.4881,14644,1.267139,2.782085,-14.66199,7.278627,0
322.552,244.2805,323.0667,243.6893,325.0732,242.7704,329.6179,247.0187,13131,0.51463,-0.591226,4.54463,4.24829,1
314.3188,249.8326,312.5882,247.4968,321.2759,240.8653,317.2955,241.047,18332,-1.730605,-2.335749,-3.980449,0.181663,0
324.542,240.0612,323.3827,241.7175,328.0623,238.5134,339.3968,246.8783,15888,-1.159304,1.656335,11.33448,8.364839,0
319.5367,245.5675,319.5007,242.7519,316.44,247.78,302.1568,254.6986,10681,-0.035996,-2.815613,-14.2832,6.918636,0
314.6861,247.5733,315.2411,245.697,321.497,238.8525,328.7155,241.501,19806,0.555032,-1.876257,7.21847,2.648485,0
329.4561,247.0078,327.3664,246.5183,332.4121,244.7128,346.5743,248.8279,16156,-2.089734,-0.489443,14.16222,4.115048,0
317.3627,240.196,316.0438,242.1069,319.8531,241.4729,314.6351,242.4938,13765,-1.318887,1.910949,-5.217981,1.020835,0
307.4152,248.9904,305.8409,246.5708,316.6158,237.8593,309.2706,237.5366,15068,-1.574386,-2.41966,-7.345215,-0.322673,0
318.721,239.3215,315.9288,240.7697,321.3918,233.0324,314.6995,229.1047,18301,-2.792174,1.448267,-6.692365,-3.9277,0
331.8419,242.7033,333.9364,243.1659,334.5676,240.6137,344.087,246.7708,16406,2.094434,0.462624,9.519419,6.157096,0
315.3918,240.6898,315.3463,242.0594,320.0459,243.9033,320.5171,250.168,13370,-0.045533,1.369611,0.471251,6.264657,0
307.2777,253.2548,307.8578,251.9795,315.9783,243.7647,307.4412,250.6593,14441,0.580085,-1.275269,-8.537093,6.894597,0
320.106,244.2957,320.5917,243.1753,321.5767,241.5932,328.1119,244.5565,17423,0.485797,-1.120366,6.53525,2.963321,0
312.6309,250.6825,315.774,247.4004,319.3743,242.5101,320.8468,241.7085,22010,3.14318,-3.282119,1.472476,-0.801691,0
303.8084,251.3638,306.6386,249.5462,314.0108,241.6907,306.8182,248.3977,14651,2.830229,-1.81759,-7.192646,6.706918,0
325.0226,247.5983,323.6252,245.0661,327.8853,245.2959,336.1035,246.7777,13741,-1.397421,-2.532215,8.218246,1.481769,0
322.1727,241.4044,320.3066,241.2133,319.1217,242.4227,305.912,246.2094,11716,-1.8661,-0.191075,-13.20966,3.786638,0
313.9828,241.6849,315.2978,242.1381,315.0963,245.2553,296.4445,251.5263,15623,1.31495,0.453221,-18.65177,6.270997,1
303.9898,250.9172,304.2607,248.254,313.6837,241.3526,302.1012,246.9715,14323,0.270915,-2.663266,-11.58253,5.61895,0
321.0698,246.6259,318.6001,243.8527,328.412,241.3382,341.6018,236.2413,19606,-2.469713,-2.773252,13.18983,-5.09694,0
320.7028,242.8767,318.4634,239.9325,317.3308,244.5088,301.9124,248.4769,11837,-2.239357,-2.944215,-15.41838,3.968093,0
311.782,243.0367,314.3678,241.5571,314.9903,244.8923,308.5723,248.1596,16897,2.585791,-1.479571,-6.417965,3.267354,0
323.1024,243.0416,322.1874,243.6126,320.9231,244.1932,304.9582,250.7929,13346,-0.915062,0.571016,-15.96495,6.5997,0
317.946,243.9702,317.7089,245.9182,324.2693,243.8746,327.2029,240.1406,22002,-0.237172,1.947966,2.933624,-3.734074,0
327.9752,246.548,329.5545,244.6279,330.2558,243.7814,339.8479,246.0184,14851,1.579245,-1.920164,9.592075,2.236987,0
309.4673,253.1008,307.4445,251.1214,318.3842,242.606,306.7332,245.9706,14239,-2.022889,-1.979441,-11.65106,3.364551,0
310.6117,243.4987,310.7546,240.5081,319.4177,239.5979,324.5295,234.8309,21020,0.142971,-2.990614,5.111879,-4.766999,0
316.136,242.6975,313.6138,240.8943,315.966,244.6147,292.9338,244.7248,16142,-2.522142,-1.803136,-23.03218,0.110066,0
322.2453,241.4141,320.7277,242.3131,325.204,241.6447,336.4588,244.492,16271,-1.51755,0.899015,11.25479,2.8473,1
316.7412,241.9767,317.9851,240.3311,314.288,242.7988,303.5297,244.0273,15312,1.243915,-1.645587,-10.7583,1.228542,0
318.6889,240.7631,318.7835,241.1653,319.9474,239.024,323.462,247.7297,12874,0.094657,0.402183,3.514618,8.705699,0
326.2711,239.8029,326.7256,238.2816,331.4019,236.6182,341.0138,232.9757,20319,0.454467,-1.521235,9.611852,-3.642542,0
311.9331,246.5841,312.5196,246.8104,314.299,241.3316,305.9526,242.4004,18466,0.586477,0.226273,-8.346388,1.06883,0
320.2232,235.7104,322.1218,237.4879,318.0327,237.051,309.3383,242.1928,16051,1.898577,1.777508,-8.694376,5.141838,0
319.2331,240.7964,318.2196,239.5563,322.2874,238.4376,330.2415,242.6367,17684,-1.013496,-1.240079,7.954052,4.199169,0
325.2789,239.4516,325.8929,239.3496,328.8682,239.2896,340.6969,239.0328,15703,0.613982,-0.102067,11.82872,-0.25679,1
312.7487,247.8846,314.5044,249.6248,321.6113,244.1293,324.855,237.1338,20996,1.755708,1.740239,3.243679,-6.995511,0
323.2046,241.8725,322.3846,240.7828,324.2136,239.6865,324.0053,233.9033,19788,-0.819991,-1.089677,-0.208276,-5.783264,0
310.434,249.3566,310.3364,247.687,313.7384,244.8617,316.0573,241.698,18001,-0.097606,-1.669599,2.318901,-3.16366,0
311.7394,232.9968,314.5768,233.9541,316.7323,236.0046,307.8088,241.4048,16849,2.837374,0.95725,-8.923535,5.40018,0
320.261,244.1298,319.275,243.3867,319.4799,244.7756,316.6813,247.3373,12969,-0.986017,-0.743063,-2.79858,2.561751,1
307.725,244.7415,309.0028,246.9617,316.6849,236.1654,339.8158,229.649,25768,1.277798,2.220269,23.13091,-6.516418,0
308.9008,245.1567,311.2702,245.8202,309.1666,242.2157,305.548,248.1399,17915,2.369382,0.663511,-3.618641,5.924225,0
306.1106,249.1397,308.3193,250.7798,313.687,239.9259,300.7408,249.8231,13711,2.208661,1.640069,-12.94623,9.89722,0
306.9868,245.245,305.4959,243.5407,316.0712,239.5339,316.797,233.2783,21100,-1.490808,-1.704318,0.725797,-6.255574,0
309.2312,243.2186,310.6818,240.5526,311.7827,239.3718,316.0185,232.2227,21630,1.45053,-2.666004,4.235818,-7.149024,0
314.1948,246.2587,315.8557,245.9331,314.7093,244.8386,318.1575,250.6285,17011,1.660877,-0.32558,3.448294,5.789916,0
317.4813,234.9129,319.6873,233.3111,313.4304,237.5865,297.1179,246.3133,14044,2.205992,-1.601789,-16.31248,8.726808,0
312.149,241.9838,315.0321,242.6175,312.2704,242.9096,309.628,249.1736,13132,2.883099,0.633677,-2.642341,6.263904,1
305.9473,242.7456,303.1096,242.3892,308.2646,237.683,306.3319,238.3797,19153,-2.837676,-0.356389,-1.932713,0.696685,0
310.7363,242.0175,312.0656,239.9868,312.1747,243.4941,291.4545,243.039,16589,1.329252,-2.030628,-20.72021,-0.455088,0
306.405,243.4786,307.667,241.9778,309.3578,240.4848,316.1241,239.183,22635,1.262005,-1.500824,6.76631,-1.301822,0
306.1946,246.993,306.506,244.4272,313.345,238.6013,297.2877,245.6012,14176,0.311325,-2.5658,-16.05732,6.999916,1
318.937,235.5936,319.3608,236.97,315.8567,238.2223,303.6039,248.2435,15471,0.423858,1.376418,-12.25279,10.0212,0
311.3396,240.8651,312.7761,240.9864,308.2316,238.6181,302.5744,242.6076,15681,1.436549,0.121294,-5.657183,3.989506,0
308.0132,243.0052,310.0739,243.8181,317.0878,238.9428,313.8143,241.1773,21544,2.060691,0.812936,-3.273477,2.234533,0
314.8297,243.369,312.231,245.3579,319.0533,235.9591,329.8316,228.3277,22648,-2.598709,1.988954,10.77837,-7.631423,0
314.3405,243.2722,316.3621,242.4135,319.1111,240.5398,325.679,242.1278,15567,2.02158,-0.85869,6.567852,1.588003,0
312.0797,239.384,312.6333,240.7267,310.9784,239.8677,306.3186,242.4783,15649,0.553612,1.342748,-4.659746,2.610582,0
305.1554,244.995,303.2918,245.5374,306.0125,242.9777,316.5561,241.48,21971,-1.863558,0.542334,10.54354,-1.497749,0
312.7784,234.986,311.785,237.7168,307.502,237.3695,284.2607,249.0678,15760,-0.993347,2.730858,-23.24133,11.69824,0
313.9043,238.8414,311.0392,237.9564,314.7086,241.2305,303.6166,242.8213,16347,-2.865144,-0.884984,-11.09202,1.590729,0
304.1903,236.3417,302.6299,239.2014,304.9957,233.4207,302.0941,240.0479,15978,-1.560357,2.859678,-2.901528,6.62713,0
305.1414,245.9256,306.3275,244.6179,312.5109,236.6938,291.1892,242.6194,13787,1.186069,-1.307715,-21.32177,5.925602,1
311.2623,245.4239,313.3972,247.2252,319.2198,236.9046,336.576,231.752,19578,2.134939,1.801346,17.35625,-5.152574,0
310.0331,243.5065,310.206,245.6739,315.6264,238.8618,319.9346,241.3193,16309,0.172969,2.167395,4.308274,2.457501,0
318.58,243.3829,320.605,240.8326,314.7614,245.258,301.8452,253.4901,11195,2.025077,-2.550258,-12.91621,8.232152,0
312.1595,237.2623,310.2555,239.6985,314.1824,239.8451,307.2807,243.9734,16385,-1.903965,2.436239,-6.901677,4.128315,0
312.7516,238.7423,310.9263,239.1222,314.7864,236.0305,318.9139,234.4396,21209,-1.82525,0.379845,4.12746,-1.590856,0
308.4565,245.0292,306.6601,244.9655,310.8409,238.7999,308.377,243.8227,17489,-1.796397,-0.063735,-2.463897,5.022743,1
310.4362,243.7188,309.6357,241.1148,308.1551,241.448,304.3879,243.2103,15786,-0.800493,-2.603977,-3.767211,1.762287,0
308.5538,244.8221,310.281,242.068,317.2953,238.3659,309.243,235.0628,22172,1.727216,-2.754154,-8.052314,-3.303109,0
313.3189,245.9267,309.3663,248.7558,318.6659,237.4335,326.6442,238.8901,21677,-3.952654,2.829107,7.978253,1.456663,0
313.7787,241.7351,312.2393,244.0466,313.101,242.2611,304.0999,248.7649,14799,-1.539324,2.311436,-9.001162,6.50383,1
315.9107,241.6246,318.2389,242.8663,318.0717,239.4111,324.3274,240.4243,18864,2.328181,1.241742,6.255646,1.013274,0
316.9808,239.4851,316.7701,242.0394,308.5611,243.3149,284.9879,257.2362,13403,-0.21069,2.554326,-23.57319,13.92127,0
307.0114,244.6802,306.6262,243.6711,307.1995,239.9899,299.0141,246.2609,19103,-0.385136,-1.00908,-8.185399,6.271021,0
307.1365,244.5796,308.8528,241.7794,315.7637,238.8826,321.2711,231.8649,20159,1.716232,-2.80016,5.507308,-7.017743,0
318.8132,238.6267,320.9362,237.7047,318.1969,239.6484,312.4684,243.9965,13366,2.122965,-0.921937,-5.728505,4.348042,1
316.2878,240.7997,317.6833,242.0199,320.1667,238.2154,324.3505,240.6378,16793,1.395554,1.220182,4.183781,2.422348,0
311.0207,244.7827,312.283,243.5958,317.2034,237.2872,324.1721,235.8279,19996,1.262259,-1.186872,6.96868,-1.459295,0
306.5306,236.1111,306.2981,236.4341,306.2457,236.5927,302.3982,243.0963,18294,-0.232488,0.322971,-3.847546,6.503659,1
316.4298,243.7906,317.6942,243.1234,319.5532,239.703,329.9656,233.317,21178,1.264428,-0.667193,10.41247,-6.385992,0
314.1332,239.2395,311.5085,240.6664,309.7107,241.5352,290.5068,253.159,14370,-2.624743,1.426914,-19.20392,11.62381,0
307.0949,242.9418,309.1364,245.0731,316.8577,237.1965,317.1178,233.1551,20707,2.041409,2.131348,0.260052,-4.041394,0
314.4031,245.3709,313.9176,244.4242,316.0774,243.808,322.0946,247.6732,16887,-0.485555,-0.946675,6.017215,3.865225,1
317.7052,240.9718,318.1284,243.4933,317.0141,241.9478,311.9931,246.4726,12049,0.423294,2.521491,-5.020962,4.524771,1
312.7248,245.8429,311.4128,246.5886,319.842,238.3828,328.3218,241.4946,20504,-1.312046,0.745682,8.479829,3.11187,0
